Ticker,Current Price,EPS,Expected P/E,Intrinsic Value,Undervalued
BABA,83.12999725341797,4.86,15,72.9,False
CVS,58.0099983215332,3.94,15,59.1,True
VOW3.DE,81.80000305175781,24.43,15,366.45,True
2318.HK,44.70000076293945,6.95,15,104.25,True
BAYN.DE,19.802000045776367,-0.89,15,-13.35,False
WBD,10.109999656677246,-4.58,15,-68.7,False
CEZ.PR,961.5,43.27,15,649.0500000000001,False
EEFT,105.51000213623047,6.88,15,103.2,False
SOFI,15.600000381469727,0.12,15,1.7999999999999998,False
BIDU,80.33000183105469,7.6,15,114.0,True
RYAAY,42.97999954223633,1.84,15,27.6,False
P911.DE,57.68000030517578,4.37,15,65.55,True
HAL,31.940000534057617,2.86,15,42.9,True
PFE,25.649999618530273,0.75,15,11.25,False
EVO.ST,983.5999755859375,62.66,15,939.9,False
TUI1.DE,7.423999786376953,1.75,15,26.25,True
AAPL,229.8699951171875,6.07,15,91.05000000000001,False
