Ticker,Current Price,EPS,P/E Ratio,Intrinsic Value,Undervalued
BABA,83.12999725341797,4.86,17.104937,83.12999382000001,False
CVS,58.0099983215332,3.94,14.72335,58.009999,True
VOW3.DE,81.80000305175781,24.43,3.3483422,81.799999946,False
2318.HK,44.70000076293945,6.95,6.431655,44.700002250000004,True
CEZ.PR,961.5,43.27,22.220938,961.4999872600001,False
EEFT,105.51000213623047,6.88,15.335756,105.51000128,False
SOFI,15.600000381469727,0.12,130.0,15.6,False
BIDU,80.33000183105469,7.6,10.569737,80.3300012,False
RYAAY,42.97999954223633,1.84,23.358694,42.97999696,False
P911.DE,57.68000030517578,4.37,13.199085,57.68000145,True
HAL,31.940000534057617,2.86,11.167832,31.93999952,False
PFE,25.649999618530273,0.75,34.2,25.650000000000002,True
EVO.ST,983.5999755859375,62.66,15.697414,983.59996124,False
TUI1.DE,7.423999786376953,1.75,4.2422857,7.423999975,True
AAPL,229.8699951171875,6.07,37.86985,229.8699895,False
